cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB716000000076;71153/USZ/TR 60 1544;"CD71-FTTH-USZ;36FO - TR 60 1544";ND716000000157;ND716000000042;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;45.980;;;29/08/2022 00:00;;;;
CB716000000077;71153/USZ/TR 60 1545;"CD71-FTTH-USZ;36FO - TR 60 1545";ND716000000042;ND716000000089;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;7.109;;;29/08/2022 00:00;;;;
CB716000000078;71153/USZ/TR 60 1546;"CD71-FTTH-USZ;36FO - TR 60 1546";ND716000000089;ND716000000170;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;46.451;;;29/08/2022 00:00;;;;
CB716000000079;71153/USZ/TR 60 1547;"CD71-FTTH-USZ;36FO - TR 60 1547";ND716000000170;ND716000000088;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;15.236;;;29/08/2022 00:00;;;;
CB716000000080;71153/USZ/TR 60 1548;"CD71-FTTH-USZ;36FO - TR 60 1548";ND716000000088;ND716000000169;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;34.517;;;29/08/2022 00:00;;;;
CB716000000081;71153/USZ/TR 60 1549;"CD71-FTTH-USZ;24FO - TR 60 1549";ND716000000035;ND716000000156;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;12.858;;;29/08/2022 00:00;;;;
CB716000000082;71153/USZ/TR 60 1550;"CD71-FTTH-USZ;24FO - TR 60 1550";ND716000000156;ND716000000086;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;30.018;;;29/08/2022 00:00;;;;
CB716000000083;71153/USZ/TR 60 1551;"CD71-FTTH-USZ;24FO - TR 60 1551";ND716000000086;ND716000000066;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;30.336;;;29/08/2022 00:00;;;;
CB716000000084;71153/USZ/TR 60 1552;"CD71-FTTH-USZ;24FO - TR 60 1552";ND716000000066;ND716000000195;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;27.349;;;29/08/2022 00:00;;;;
CB716000000085;71153/USZ/TR 60 1555;"CD71-FTTH-USZ;6FO - TR 60 1555";ND716000000035;ND716000000171;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;74.659;;;29/08/2022 00:00;;;;
CB716000000086;71153/USZ/TR 60 1553;"CD71-FTTH-USZ;12FO - TR 60 1553";ND716000000035;ND716000000146;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;154.185;;;29/08/2022 00:00;;;;
CB716000000087;71153/USZ/TR 60 1554;"CD71-FTTH-USZ;12FO - TR 60 1554";ND716000000146;ND716000000211;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;41.794;;;29/08/2022 00:00;;;;
CB716000000088;71153/USZ/TR 60 1556;"CD71-FTTH-USZ;6FO - TR 60 1556";ND716000000035;ND716000000209;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;156.140;;;29/08/2022 00:00;;;;
CB716000000089;71153/USZ/TR 60 1557;"CD71-FTTH-USZ;24FO - TR 60 1557";ND716000000008;ND716000000121;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;41.761;;;29/08/2022 00:00;;;;
CB716000000090;71153/USZ/TR 60 1558;"CD71-FTTH-USZ;24FO - TR 60 1558";ND716000000121;ND716000000168;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;57.000;;;29/08/2022 00:00;;;;
CB716000000091;71153/USZ/TR 60 1559;"CD71-FTTH-USZ;24FO - TR 60 1559";ND716000000168;ND716000000108;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;33.000;;;29/08/2022 00:00;;;;
CB716000000092;71153/USZ/TR 60 1560;"CD71-FTTH-USZ;6FO - TR 60 1560";ND716000000008;ND716000000120;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;29.863;;;29/08/2022 00:00;;;;
CB716000000093;71153/USZ/TR 60 1561;"CD71-FTTH-USZ;6FO - TR 60 1561";ND716000000008;ND716000000119;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;200.350;;;29/08/2022 00:00;;;;
CB716000000094;71153/USZ/TR 60 1562;"CD71-FTTH-USZ;6FO - TR 60 1562";ND716000000008;ND716000000117;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;101.988;;;29/08/2022 00:00;;;;
CB716000000095;71153/USZ/TR 60 1563;"CD71-FTTH-USZ;6FO - TR 60 1563";ND716000000008;ND716000000104;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;50.174;;;29/08/2022 00:00;;;;
CB716000000096;71153/USZ/TR 60 1564;"CD71-FTTH-USZ;36FO - TR 60 1564";ND716000000223;ND716000000002;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;768.347;;;29/08/2022 00:00;;;;
CB716000000097;71153/USZ/TR 60 1565;"CD71-FTTH-USZ;36FO - TR 60 1565";ND716000000002;ND716000000002;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;0.791;;;29/08/2022 00:00;;;;
CB716000000098;71153/USZ/TR 60 1566;"CD71-FTTH-USZ;36FO - TR 60 1566";ND716000000002;ND716000000093;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;243.274;;;29/08/2022 00:00;;;;
CB716000000099;71153/USZ/TR 60 1567;"CD71-FTTH-USZ;36FO - TR 60 1567";ND716000000093;ND716000000216;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;296.074;;;29/08/2022 00:00;;;;
CB716000000100;71153/USZ/TR 60 1568;"CD71-FTTH-USZ;36FO - TR 60 1568";ND716000000093;ND716000000072;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;417.222;;;29/08/2022 00:00;;;;
CB716000000101;71153/USZ/TR 60 1569;"CD71-FTTH-USZ;36FO - TR 60 1569";ND716000000072;ND716000000092;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;1064.077;;;29/08/2022 00:00;;;;
CB716000000102;71153/USZ/TR 60 1570;"CD71-FTTH-USZ;36FO - TR 60 1570";ND716000000092;ND716000000058;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;91.854;;;29/08/2022 00:00;;;;
CB716000000103;71153/USZ/TR 60 1571;"CD71-FTTH-USZ;36FO - TR 60 1571";ND716000000058;ND716000000159;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;99.541;;;29/08/2022 00:00;;;;
CB716000000104;71153/USZ/TR 60 1572;"CD71-FTTH-USZ;36FO - TR 60 1572";ND716000000159;ND716000000162;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;176.888;;;29/08/2022 00:00;;;;
CB716000000105;71153/USZ/TR 60 1573;"CD71-FTTH-USZ;6FO - TR 60 1573";ND716000000002;ND716000000150;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;230.854;;;29/08/2022 00:00;;;;
