pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000024;00379/71059;CD71-00379/71059;ND716000000024;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L2T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000025;00099/71059;CD71-00099/71059;ND716000000025;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000026;00085/71059;CD71-00085/71059;ND716000000026;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000027;00083/71059;CD71-00083/71059;ND716000000027;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000028;00090/71059;CD71-00090/71059;ND716000000028;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000029;00080/71059;CD71-00080/71059;ND716000000029;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000030;00084/71059;CD71-00084/71059;ND716000000030;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000031;00372/71059;CD71-00372/71059;ND716000000031;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L1T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000032;00081/71059;CD71-00081/71059;ND716000000032;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000033;00091/71059;CD71-00091/71059;ND716000000033;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
