bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000035;"CD71 ; PBO - PT 601537USZ";71153/USZ/PT 601537;PT716000000181;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000033;"CD71 ; PBO - PT 601538USZ";71153/USZ/PT 601538;PT716000000205;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000032;"CD71 ; PBO - PT 601539USZ";71153/USZ/PT 601539;PT716000000200;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000031;"CD71 ; PBO - PT 601540USZ";71153/USZ/PT 601540;PT716000000018;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000104;"CD71 ; BPE - PT 601541USZ";71153/USZ/PT 601541;PT716000000008;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B144;BPE;RF000000000024;;;7;;;;;;29/08/2022 00:00;;;;
BP716000000105;"CD71 ; BPE - PT 601542USZ";71153/USZ/PT 601542;PT716000000035;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B144;BPE;RF000000000024;;;13;;;;;;29/08/2022 00:00;;;;
BP716000000064;"CD71 ; PBO - PT 601543USZ";71153/USZ/PT 601543;PT716000000157;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000072;"CD71 ; PBO - PT 601544USZ";71153/USZ/PT 601544;PT716000000042;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000071;"CD71 ; PBO - PT 601545USZ";71153/USZ/PT 601545;PT716000000089;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000073;"CD71 ; PBO - PT 601546USZ";71153/USZ/PT 601546;PT716000000170;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
