cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000330;12;BP716000000024;1;;;RF000000000191;71153/USZ/PT 601561;29/08/2022 00:00;;;;
CS716000000331;12;BP716000000051;1;;;RF000000000191;71153/USZ/PT 601562;29/08/2022 00:00;;;;
CS716000000332;12;BP716000000050;1;;;RF000000000191;71153/USZ/PT 601563;29/08/2022 00:00;;;;
CS716000000333;12;BP716000000103;1;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000334;12;BP716000000103;2;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000335;12;BP716000000103;3;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000336;12;BP716000000103;4;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000337;12;BP716000000103;5;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000338;12;BP716000000103;6;;;RF000000000191;71153/USZ/PT 601564;29/08/2022 00:00;;;;
CS716000000339;12;BP716000000086;1;;;RF000000000191;71153/USZ/PT 601565;29/08/2022 00:00;;;;
CS716000000340;0;BP716000000086;0;;;RF000000000297;71153/USZ/PT 601565;29/08/2022 00:00;;;;
CS716000000344;12;BP716000000088;1;;;RF000000000191;71153/USZ/PT 601566;29/08/2022 00:00;;;;
CS716000000345;12;BP716000000088;2;;;RF000000000191;71153/USZ/PT 601566;29/08/2022 00:00;;;;
CS716000000346;0;BP716000000088;0;;;RF000000000297;71153/USZ/PT 601566;29/08/2022 00:00;;;;
CS716000000349;12;BP716000000087;1;;;RF000000000191;71153/USZ/PT 601567;29/08/2022 00:00;;;;
CS716000000353;12;BP716000000093;1;;;RF000000000191;71153/USZ/PT 601568;29/08/2022 00:00;;;;
CS716000000354;0;BP716000000093;0;;;RF000000000297;71153/USZ/PT 601568;29/08/2022 00:00;;;;
CS716000000356;12;BP716000000089;1;;;RF000000000191;71153/USZ/PT 601569;29/08/2022 00:00;;;;
CS716000000357;0;BP716000000089;0;;;RF000000000297;71153/USZ/PT 601569;29/08/2022 00:00;;;;
CS716000000358;12;BP716000000090;1;;;RF000000000191;71153/USZ/PT 601570;29/08/2022 00:00;;;;
CS716000000359;0;BP716000000090;0;;;RF000000000297;71153/USZ/PT 601570;29/08/2022 00:00;;;;
CS716000000360;12;BP716000000091;1;;;RF000000000191;71153/USZ/PT 601571;29/08/2022 00:00;;;;
CS716000000361;12;BP716000000092;1;;;RF000000000191;71153/USZ/PT 601572;29/08/2022 00:00;;;;
CS716000000362;12;BP716000000094;1;;;RF000000000191;71153/USZ/PT 601573;29/08/2022 00:00;;;;
CS716000000363;12;BP716000000013;1;;;RF000000000191;71153/USZ/PT 601574;29/08/2022 00:00;;;;
