cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000207;12;BP716000000102;7;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000208;12;BP716000000102;8;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000209;12;BP716000000036;1;;;RF000000000191;71153/USZ/PT 601516;29/08/2022 00:00;;;;
CS716000000210;0;BP716000000036;0;;;RF000000000297;71153/USZ/PT 601516;29/08/2022 00:00;;;;
CS716000000213;12;BP716000000044;1;;;RF000000000191;71153/USZ/PT 601517;29/08/2022 00:00;;;;
CS716000000214;0;BP716000000044;0;;;RF000000000297;71153/USZ/PT 601517;29/08/2022 00:00;;;;
CS716000000216;12;BP716000000046;1;;;RF000000000191;71153/USZ/PT 601518;29/08/2022 00:00;;;;
CS716000000217;0;BP716000000046;0;;;RF000000000297;71153/USZ/PT 601518;29/08/2022 00:00;;;;
CS716000000218;12;BP716000000048;1;;;RF000000000191;71153/USZ/PT 601519;29/08/2022 00:00;;;;
CS716000000219;12;BP716000000045;1;;;RF000000000191;71153/USZ/PT 601520;29/08/2022 00:00;;;;
CS716000000220;0;BP716000000045;0;;;RF000000000297;71153/USZ/PT 601520;29/08/2022 00:00;;;;
CS716000000221;12;BP716000000047;1;;;RF000000000191;71153/USZ/PT 601521;29/08/2022 00:00;;;;
CS716000000222;0;BP716000000047;0;;;RF000000000297;71153/USZ/PT 601521;29/08/2022 00:00;;;;
CS716000000223;12;BP716000000049;1;;;RF000000000191;71153/USZ/PT 601522;29/08/2022 00:00;;;;
CS716000000224;12;BP716000000037;1;;;RF000000000191;71153/USZ/PT 601523;29/08/2022 00:00;;;;
CS716000000225;0;BP716000000037;0;;;RF000000000297;71153/USZ/PT 601523;29/08/2022 00:00;;;;
CS716000000226;12;BP716000000038;1;;;RF000000000191;71153/USZ/PT 601524;29/08/2022 00:00;;;;
CS716000000227;12;BP716000000041;1;;;RF000000000191;71153/USZ/PT 601525;29/08/2022 00:00;;;;
CS716000000228;0;BP716000000041;0;;;RF000000000297;71153/USZ/PT 601525;29/08/2022 00:00;;;;
CS716000000230;12;BP716000000042;1;;;RF000000000191;71153/USZ/PT 601526;29/08/2022 00:00;;;;
CS716000000231;0;BP716000000042;0;;;RF000000000297;71153/USZ/PT 601526;29/08/2022 00:00;;;;
CS716000000232;12;BP716000000043;1;;;RF000000000191;71153/USZ/PT 601527;29/08/2022 00:00;;;;
CS716000000233;12;BP716000000026;1;;;RF000000000191;71153/USZ/PT 601528;29/08/2022 00:00;;;;
CS716000000234;0;BP716000000026;0;;;RF000000000297;71153/USZ/PT 601528;29/08/2022 00:00;;;;
CS716000000237;12;BP716000000027;1;;;RF000000000191;71153/USZ/PT 601529;29/08/2022 00:00;;;;
CS716000000238;0;BP716000000027;0;;;RF000000000297;71153/USZ/PT 601529;29/08/2022 00:00;;;;
CS716000000240;12;BP716000000030;1;;;RF000000000191;71153/USZ/PT 601530;29/08/2022 00:00;;;;
CS716000000241;0;BP716000000030;0;;;RF000000000297;71153/USZ/PT 601530;29/08/2022 00:00;;;;
CS716000000242;12;BP716000000029;1;;;RF000000000191;71153/USZ/PT 601531;29/08/2022 00:00;;;;
CS716000000243;12;BP716000000040;1;;;RF000000000191;71153/USZ/PT 601532;29/08/2022 00:00;;;;
CS716000000244;0;BP716000000040;0;;;RF000000000297;71153/USZ/PT 601532;29/08/2022 00:00;;;;
CS716000000245;12;BP716000000039;1;;;RF000000000191;71153/USZ/PT 601533;29/08/2022 00:00;;;;
CS716000000246;12;BP716000000025;1;;;RF000000000191;71153/USZ/PT 601534;29/08/2022 00:00;;;;
CS716000000247;0;BP716000000025;0;;;RF000000000297;71153/USZ/PT 601534;29/08/2022 00:00;;;;
CS716000000248;12;BP716000000028;1;;;RF000000000191;71153/USZ/PT 601535;29/08/2022 00:00;;;;
